longitude,latitude,alt,temp,prec,hum,dist_aqua
31.33333333,-16.03333333,374.7659574,31.68239784,70.94999695,65.51667023,20.03300095
31.33333333,-15.96666667,391.828125,31.4028511,71.1166687,65.19999695,16.64800072
31.33333333,-15.9,371.484375,31.66975594,71.1166687,65.19999695,11.27299976
31.33333333,-15.83333333,357.6875,31.79787445,71.1166687,65.19999695,7.203999996
31.33333333,-15.76666667,336.421875,31.41978073,70.30833435,64.79166412,0.65200001
31.33333333,-15.7,325.0625,30.83303833,70.30833435,64.79166412,0.402999997
31.33333333,-15.63333333,327.59375,31.1680603,75.60832977,64.79166412,0
31.33333333,-15.56666667,470.75,30.49010277,75.60832977,64.79166412,3.890000105
31.33333333,-15.5,690.296875,29.16012192,75.60832977,64.79166412,11.13099957
31.33333333,-15.43333333,807.40625,28.7551651,83.97499847,64.92500305,14.7130003
31.33333333,-15.36666667,773.90625,29.49954033,83.97499847,64.92500305,12.03800011
31.33333333,-15.3,770.28125,29.64122772,86.94166565,64.69166565,13.50399971
31.33333333,-15.23333333,786.0625,29.34583092,86.94166565,64.69166565,18.15800095
31.33333333,-15.16666667,823.359375,29.3539772,86.94166565,64.69166565,24.2329998
31.33333333,-15.1,854.34375,29.26259804,90.29166412,64.57499695,30.90200043
31.33333333,-15.03333333,900.71875,29.05555344,90.29166412,64.57499695,37.85200119
31.33333333,-14.96666667,913.234375,29.11303139,92.07499695,64.40000153,44.95299911
31.33333333,-14.9,931.890625,28.79465485,92.07499695,64.40000153,46.5909996
31.33333333,-14.83333333,939.640625,28.91446495,92.07499695,64.40000153,39.17399979
31.33333333,-14.76666667,957.109375,28.88942146,92.31666565,64.23332977,31.75900078
31.33333333,-14.7,1002.21875,28.62961197,92.31666565,64.23332977,24.34700012
31.33333333,-14.63333333,1022.684211,28.65913582,91.18333435,64.05000305,24.34700012
31.4,-22.76666667,455.8333333,30.59930611,41.67499924,67.01667023,14.06900024
31.4,-22.7,510.7878788,29.99964523,41.67499924,67.01667023,18.28300095
31.4,-22.63333333,458.3090909,30.53648376,38.84166718,67.2416687,20.49600029
31.4,-22.56666667,375.734375,31.76815796,38.84166718,67.2416687,13.28100014
31.4,-22.5,294.578125,32.45132828,38.84166718,67.2416687,6.414000034
31.4,-22.43333333,222.796875,33.11167145,34.26666641,67.58333588,0
31.4,-22.36666667,283.9767442,32.68401337,34.26666641,67.58333588,5.298999786
31.4,-22.3,235,32.71551895,34.29999924,67.8666687,0.70599997
31.4,-16.16666667,393,31.69626617,71.55833435,65.94166565,27.70199966
31.4,-16.1,388.7962963,31.72972107,70.94999695,65.51667023,27.70199966
31.4,-16.03333333,395.0625,31.50651169,70.94999695,65.51667023,26.84499931
31.4,-15.96666667,404.15625,31.43990707,71.1166687,65.19999695,21.45999908
31.4,-15.9,393.40625,31.63102722,71.1166687,65.19999695,16.80699921
31.4,-15.83333333,371.140625,31.77608871,71.1166687,65.19999695,10.87100029
31.4,-15.76666667,348.0625,31.75554657,70.30833435,64.79166412,3.489000082
31.4,-15.7,322.515625,30.85127068,70.30833435,64.79166412,0
31.4,-15.63333333,323.390625,31.04351044,75.60832977,64.79166412,0
31.4,-15.56666667,555.4375,29.87999344,75.60832977,64.79166412,4.638000011
31.4,-15.5,781.046875,28.89056778,75.60832977,64.79166412,12.06000042
31.4,-15.43333333,782.34375,28.93971443,83.97499847,64.92500305,8.50399971
31.4,-15.36666667,720,29.80652809,83.97499847,64.92500305,4.956999779
